68,200,347
248,108,1136
136,176,1333
202,54,1530
328,200,2320
288,308,2518
185,340,2715
172,60,3899
339,15,4988
392,80,5189
316,212,5978
236,184,6373
385,236,7557
208,228,8346
144,296,8544
45,298,8741
75,324,8938
256,232,9925
493,280,11110
512,58,11899
418,45,12096
364,124,12294
96,96,13478
264,40,14567
224,128,14768
428,256,15952
256,192,17136
420,304,19110
420,304,19504
396,124,20088
320,140,20283
320,140,21062
256,312,21452
320,256,22426
320,176,22620
320,256,22815
384,316,23010
196,128,24179
316,256,25348
256,124,26516
437,287,27685
257,258,28075
76,97,28465
200,312,28854
256,240,29633
256,60,30413
92,116,30802
200,328,31192
256,224,31971
328,104,32361
257,258,33335
272,264,33432
290,271,33529
499,254,34309
222,271,34698
13,254,35478
290,182,35867
256,288,37426
