434,172,3097
343,319,3460
426,271,3642
341,224,3824
259,274,4006
406,161,4188
311,26,4551
294,120,4733
219,59,4915
106,200,5279
195,167,5460
34,150,5642
135,306,6006
211,247,6188
228,217,6279
233,183,6369
379,80,6733
301,298,7097
439,261,7279
305,210,7460
382,329,7642
391,187,7824
218,235,8188
251,67,8551
288,155,8733
140,116,8915
160,23,9097
205,180,9279
95,293,9642
161,117,10006
263,129,10188
355,96,10369
444,130,10551
337,144,10733
246,104,10915
144,132,11097
173,33,11460
247,181,11642
152,224,11824
316,251,12006
344,270,12097
367,294,12188
104,355,12551
241,217,12915
250,38,13279
226,140,13460
354,110,13642
447,250,14006
349,214,14188
453,81,14369
511,167,14551
354,110,14733
271,192,15097
132,280,15460
166,181,15642
341,261,15824
490,192,16188
389,166,16369
262,276,16551
207,146,16915
160,243,17279
262,260,17460
357,219,17642
454,254,17824
477,279,17915
486,312,18006
208,325,18369
368,211,18733
283,64,19097
363,132,19279
180,168,19460
269,145,19642
104,126,19824
379,253,20188
180,168,20551
312,208,20733
207,314,20915
107,220,21097
241,234,21279
110,303,21460
220,343,21824
314,250,22006
182,95,22369
327,99,22733
240,213,23097
136,223,23279
217,312,23460
319,294,23642
352,287,23733
385,281,23824
121,132,24188
365,180,24551
451,121,24733
384,41,24915
395,221,25097
293,120,25279
269,265,25642
130,165,26006
65,256,26188
175,269,26369
23,168,26551
110,73,26733
312,114,27097
262,212,27279
43,298,27642
127,343,27824
313,301,28188
371,210,28551
429,299,28915
281,216,29097
464,204,29279
280,300,29460
248,288,29551
222,266,29642
345,133,30006
259,179,30369
367,207,30551
447,129,30733
339,96,30915
436,238,31097
298,282,31460
359,348,31824
444,324,32006
316,193,32188
231,217,32370
392,151,32551
316,104,32915
292,264,33097
191,248,33460
38,181,33824
187,59,34006
221,157,34188
119,134,34369
289,78,34551
396,184,34733
295,212,34915
393,91,35097
496,103,35279
412,310,35460
111,183,35824
